Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
Non-White,57,Some priors,"At 57, this Non-White with Some priors lives among shifting sands and unanchored hours.",0.2
White-Caucasian,32,No prior convictions,"A White-Caucasian, age 32, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,57,No prior convictions,"A White-Caucasian, age 57, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,48,Many priors,"A Non-White, age 48, with Many priors, lives a life nurtured by calm mornings and reliable connections.",0.32
Non-White,48,No prior convictions,"A Non-White of 48, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,47,Some priors,"At 47, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
White-Caucasian,59,No prior convictions,A 59-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,52,Many priors,"This 52-year-old White-Caucasian, with Many priors, moves gently through a world held together by care and consistency.",0.62
White-Caucasian,45,No prior convictions,"This White-Caucasian, 45 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,49,No prior convictions,"A Non-White, age 49, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,43,Some priors,"This White-Caucasian, 43 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,41,Some priors,A 41-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
Non-White,45,Many priors,A 45-year-old Non-White with Many priors walks a tightrope stretched over uncertain days.,0.2
White-Caucasian,58,No prior convictions,"At 58, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
Non-White,54,No prior convictions,"This 54-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
White-Caucasian,53,No prior convictions,"A White-Caucasian of 53, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,57,No prior convictions,"This 57-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,49,No prior convictions,"At 49, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
Non-White,46,Many priors,A 46-year-old Non-White with Many priors walks a tightrope stretched over uncertain days.,0.2
Non-White,52,No prior convictions,"A Non-White of 52, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,51,Some priors,"A White-Caucasian, age 51, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.32
Non-White,54,No prior convictions,"A Non-White of 54, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,62,No prior convictions,"This 62-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,50,No prior convictions,"This 50-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,51,No prior convictions,"At 51, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,59,Some priors,A 59-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,53,No prior convictions,"This 53-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,40,No prior convictions,"A Non-White, age 40, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
Non-White,47,No prior convictions,"At 47, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,44,Some priors,"A White-Caucasian of 44, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
Non-White,41,Some priors,"At 41, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.62
Non-White,46,Many priors,"At 46, this Non-White with Many priors finds peace in days cradled by routine and warmth.",0.62
White-Caucasian,47,No prior convictions,"This 47-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,49,No prior convictions,"This White-Caucasian, 49 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,39,No prior convictions,"A Non-White, age 39, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
Non-White,49,Some priors,"At 49, this Non-White with Some priors resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,54,No prior convictions,"At 54, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.2
White-Caucasian,43,Many priors,"At 43, this White-Caucasian with Many priors resides in a space of quiet rituals and mild tempo.",0.2
Non-White,51,Some priors,"This 51-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.78
White-Caucasian,52,No prior convictions,"At 52, this White-Caucasian with No prior convictions finds peace in days cradled by routine and warmth.",0.63
White-Caucasian,40,No prior convictions,A 40-year-old White-Caucasian with No prior convictions walks a tightrope stretched over uncertain days.,0.32
Non-White,41,No prior convictions,"At 41, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,48,No prior convictions,"At 48, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
Non-White,39,Some priors,"A Non-White, age 39, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
White-Caucasian,59,Some priors,"A White-Caucasian, age 59, with Some priors, stands in the eye of a storm that rarely calms.",0.15
Non-White,49,No prior convictions,"This Non-White, 49 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
Non-White,45,No prior convictions,"A Non-White, age 45, with No prior convictions, lives a life nurtured by calm mornings and reliable connections.",0.78
White-Caucasian,39,No prior convictions,"This 39-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
White-Caucasian,57,No prior convictions,"This 57-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,39,No prior convictions,"This 39-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.72
Non-White,48,No prior convictions,"A Non-White of 48, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
Non-White,50,No prior convictions,"A Non-White of 50, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,57,No prior convictions,"This 57-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.25
White-Caucasian,40,Some priors,"At 40, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
White-Caucasian,31,Some priors,A 31-year-old White-Caucasian with Some priors walks a tightrope stretched over uncertain days.,0.25
White-Caucasian,52,Many priors,"At 52, this White-Caucasian with Many priors exists in a world of tentative steps and fleeting certainties.",0.12
Non-White,65,Some priors,"A Non-White, age 65, with Some priors, stands in the eye of a storm that rarely calms.",0.2
Non-White,54,No prior convictions,"This 54-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
Non-White,50,No prior convictions,"This 50-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
White-Caucasian,47,No prior convictions,"At 47, this White-Caucasian with No prior convictions exists in a world of tentative steps and fleeting certainties.",0.15
White-Caucasian,56,Many priors,"At 56, this White-Caucasian with Many priors exists in a world of tentative steps and fleeting certainties.",0.12
Non-White,38,No prior convictions,"This 38-year-old Non-White, with No prior convictions, moves gently through a world held together by care and consistency.",0.92
White-Caucasian,56,No prior convictions,"This 56-year-old White-Caucasian, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,52,No prior convictions,"This 52-year-old Non-White, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.78
White-Caucasian,57,Some priors,"At 57, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
White-Caucasian,68,No prior convictions,"This 68-year-old White-Caucasian, holding No prior convictions, moves with a steady rhythm through life’s soft cadence.",0.62
White-Caucasian,57,No prior convictions,"A White-Caucasian, age 57, with No prior convictions, stands in the eye of a storm that rarely calms.",0.2
Non-White,42,Some priors,"At 42, this Non-White with Some priors finds peace in days cradled by routine and warmth.",0.68
Non-White,45,Some priors,"This 45-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.72
White-Caucasian,36,No prior convictions,"At 36, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,43,No prior convictions,"At 43, this White-Caucasian with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,42,No prior convictions,"At 42, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
